AppID,Name,Releasedate,Requiredage,Price,DLCcount,Windows,Mac,Linux,Achievements,Developers,Publishers,Categories,Genres,Positive,Negative
524610,Ceggtcher VR,27-Sep-16,0,0.49,0,TRUE,FALSE,FALSE,4,Funny Twins,Funny Twins,"Single-player,Steam Achievements,Stats,Steam Leaderboards","Action,Casual,Indie,Simulation,Sports",0,7
1413350,Flipper Volcano,15-Sep-20,0,2.99,0,TRUE,TRUE,FALSE,11,Sokpop Collective,Sokpop Collective,"Single-player,Steam Achievements","Action,Casual,Indie",11,2
608980,Arch Virtual HQ,15-Mar-17,0,0,0,TRUE,FALSE,FALSE,0,"Arch Virtual, LLC","Arch Virtual, LLC",,Design & Illustration,8,1
635390,Thief of Thieves,16-Jul-18,0,19.99,0,TRUE,FALSE,FALSE,53,Rival Games,Skybound Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV","Action,Adventure,Indie",107,33
939850,The Dark Pictures Anthology: Man of Medan,29-Aug-19,17,29.99,0,TRUE,FALSE,FALSE,30,Supermassive Games,BANDAI NAMCO Entertainment Europe,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together",Adventure,6002,2140
1549240,?????2 ~??????~,19-Mar-21,0,9.99,0,TRUE,FALSE,FALSE,31,CelLab,OTAKU Plan,Single-player,"Adventure,RPG,Strategy",58,7
1915050,"End it, please ...",09-Mar-22,0,5.99,0,TRUE,FALSE,FALSE,0,Tiger games,Tiger games,"Single-player,Full controller support","Adventure,Casual",0,0
939210,T3 - Take the Turn,01-Oct-18,0,4.99,0,TRUE,FALSE,FALSE,11,Vagabond Software GmbH,Vagabond Software GmbH,"Single-player,Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements",Racing,0,0
300760,Epsilon,01-Oct-15,0,0,0,TRUE,FALSE,FALSE,4,Serellan LLC,Serellan LLC,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Action,Indie,Strategy,Early Access",60,54
566870,VR Monster Awakens,22-Dec-16,0,12.99,0,TRUE,FALSE,FALSE,7,FIGHT4DREAM LIMITED,FIGHT4DREAM LIMITED,"Single-player,Steam Achievements,Steam Leaderboards","Action,Indie,Simulation,Early Access",21,6
